Pos.,Jogador,Equipe,JO,Min,BR,ER,B/E
109,Wiggins #15,Cerrado Basquete,15,24.6,0.6,1.8,0.33
110,Zach Graham #32,Bauru,20,27.9,0.6,1.2,0.5
111,Pedro Teruel #12,KTO/Caxias do Sul,32,28.09,0.59,1.84,0.32
112,Gui Santos #11,Minas,32,20.94,0.59,1.81,0.33
113,Von Haydin #30,Cerrado Basquete,29,17.51,0.59,0.86,0.68
114,Pedro Nunes #24,Flamengo,29,14.53,0.59,0.52,1.13
115,Leonardo #21,UNIFACISA,12,13.88,0.58,0.83,0.7
116,Isaac #7,São Paulo,24,16.3,0.58,0.25,2.33
117,Barnes #34,UNIFACISA,31,21.51,0.58,1.19,0.49
118,Shilton #66,KTO/Caxias do Sul,26,29.26,0.58,1.77,0.33
119,Eugeniusz #6,KTO/Caxias do Sul,28,9.55,0.57,1.07,0.53
120,Schneider #18,Fortaleza B. C.,23,16.22,0.57,0.61,0.93
121,Adyel #4,Sesi Franca,32,10.71,0.56,0.69,0.82
122,Maique #35,Paulistano,32,24.17,0.56,1.19,0.47
123,Fabricio #10,Mogi,35,26.16,0.54,0.89,0.61
124,Siewert #25,Corinthians,26,25.61,0.54,0.92,0.58
125,Ambrosino #35,Cerrado Basquete,28,13.85,0.54,0.86,0.63
126,D. Nunes #24,Cerrado Basquete,28,27.44,0.54,1.0,0.54
127,Jefferson #0,BRB/Brasília,25,18.98,0.52,1.76,0.3
128,Ziggy #14,Mogi,2,4.38,0.5,0.5,1.0
129,Santana #34,Pinheiros,2,18.42,0.5,1.0,0.5
130,Duarte #17,Cerrado Basquete,2,3.35,0.5,0.0,1.0
131,T. Faria #1,Pinheiros,6,15.14,0.5,0.5,1.0
132,Nogueira #92,Fortaleza B. C.,10,17.62,0.5,1.6,0.31
133,Valter #28,Pinheiros,14,12.39,0.5,1.21,0.41
134,Pezão #21,VipTech CMB,20,10.81,0.5,0.65,0.77
135,Rodrigues #16,Pato Basquete,30,9.05,0.5,0.53,0.94
136,Frierson #3,VipTech CMB,30,18.95,0.5,1.2,0.42
137,Márcio #3,Sesi Franca,30,16.56,0.5,1.03,0.48
138,Leal #2,Pato Basquete,32,18.7,0.5,1.34,0.37
139,Hettsheimeir #30,Flamengo,32,21.14,0.5,1.84,0.27
140,Renato #15,Corinthians,27,23.73,0.48,1.48,0.33
141,Nico #22,KTO/Caxias do Sul,25,31.02,0.48,1.48,0.32
142,Sérgio #1,Cerrado Basquete,30,14.9,0.47,1.33,0.35
143,Mogi #19,Mogi,28,17.42,0.46,0.86,0.54
144,Gabriel #12,Pato Basquete,11,12.91,0.45,0.73,0.63
145,Doria #7,Paulistano,33,14.02,0.45,0.55,0.83
146,Aquiles #20,Pato Basquete,31,13.18,0.45,0.68,0.67
147,Jhonatan #7,Flamengo,29,17.94,0.45,0.62,0.72
148,Gerson #1,São Paulo,25,13.44,0.44,0.4,1.1
149,Ribeiro #12,Minas,7,4.4,0.43,0.57,0.75
150,Hubner #77,Sesi Franca,35,18.22,0.43,0.66,0.65
151,Alex #10,Fortaleza B. C.,26,18.78,0.42,0.77,0.55
152,Gemerson #6,BRB/Brasília,17,26.3,0.41,1.76,0.23
153,R. Rachel #20,Flamengo,22,7.75,0.41,0.41,1.0
154,Queiros #3,Minas,32,16.34,0.41,0.91,0.45
155,Caio Torres #13,BRB/Brasília,28,23.42,0.39,1.46,0.27
156,Gabriel #8,BRB/Brasília,23,9.47,0.39,0.61,0.64
157,Ronald #6,Minas,24,17.06,0.38,1.17,0.32
158,Rafa Moreira #9,Minas,28,14.85,0.36,0.75,0.48
159,Tom #40,VipTech CMB,28,11.19,0.36,0.61,0.59
160,Zubiaurre #31,Pinheiros,24,11.93,0.33,1.04,0.32
161,Marcelão #5,BRB/Brasília,30,16.99,0.33,1.33,0.25
162,Danilo #17,BRB/Brasília,19,10.22,0.32,0.89,0.35
163,Lobo #9,Fortaleza B. C.,16,5.26,0.31,0.63,0.5
164,Lassance #24,Fortaleza B. C.,16,8.62,0.31,0.25,1.25
165,João Vitor #0,UNIFACISA,13,18.24,0.31,1.62,0.19
166,W. Sena #21,Pinheiros,26,14.21,0.31,0.85,0.36
167,Vezarinho #10,Corinthians,27,9.04,0.3,0.48,0.62
168,Derick #8,Pato Basquete,24,6.23,0.29,0.38,0.78
169,Batista #13,Minas,32,22.65,0.28,2.03,0.14
170,Djalo #35,Corinthians,11,5.29,0.27,0.18,1.5
171,M. Douglas #13,Pinheiros,26,10.06,0.27,0.46,0.58
172,D. Penteado #12,São Paulo,15,8.11,0.27,0.33,0.8
173,Igor #20,São Paulo,15,7.77,0.27,0.27,1.0
174,Alexandrino #13,UNIFACISA,19,12.32,0.26,0.42,0.63
175,Cassiano #5,Mogi,27,10.3,0.26,1.04,0.25
176,Pedro Silva #6,Mogi,4,2.2,0.25,0.5,0.5
177,Cristhyã #41,Flamengo,4,2.33,0.25,0.5,0.5
178,Murilo #5,Pato Basquete,4,4.33,0.25,0.25,1.0
179,Beto #5,Paulistano,24,3.91,0.25,0.33,0.75
180,Alexei Patrício #3,Bauru,25,7.03,0.24,0.48,0.5
181,Luis #9,Cerrado Basquete,18,7.99,0.22,0.33,0.67
182,Colina #8,Mogi,10,4.67,0.2,0.2,1.0
183,Dias #31,Minas,10,4.42,0.2,0.0,1.0
184,Lucão #31,VipTech CMB,30,20.23,0.2,1.33,0.15
185,Magna #19,VipTech CMB,30,14.03,0.2,0.7,0.29
186,Gemadinha #35,UNIFACISA,26,8.0,0.19,0.42,0.45
187,B. Fiorotto #21,Cerrado Basquete,16,15.74,0.19,1.5,0.13
188,L. Cauê #23,Corinthians,32,14.98,0.19,1.34,0.14
189,Emanuel Matias #11,Bauru,11,3.57,0.18,0.27,0.67
190,João Pedro #16,Bauru,6,6.54,0.17,0.5,0.33
191,Nathan #43,Sesi Franca,6,3.2,0.17,0.17,1.0
192,Buiú #14,Paulistano,12,3.08,0.17,0.08,2.0
193,Jamison #6,Pinheiros,12,14.14,0.17,1.0,0.17
194,Rapha #1,VipTech CMB,13,2.4,0.15,0.31,0.5
195,Ianguas #20,Paulistano,22,6.36,0.14,0.09,1.5
196,Felipe #11,BRB/Brasília,15,3.77,0.13,0.2,0.67
197,Rafael #12,Paulistano,8,2.68,0.13,0.25,0.5
198,Edu Marília #11,Sesi Franca,25,5.57,0.12,0.44,0.27
199,D. Souza #12,Pinheiros,9,12.87,0.11,0.89,0.13
200,Ruan #9,Flamengo,9,5.69,0.11,0.0,1.0
201,R. Stabile #17,KTO/Caxias do Sul,29,7.54,0.1,0.55,0.19
202,Jonatan #50,Paulistano,11,6.46,0.09,0.45,0.2
203,Maciel #34,Flamengo,12,5.28,0.08,0.42,0.2
204,Gabriel #7,Fortaleza B. C.,16,5.57,0.06,0.0,1.0
205,Felipe #16,Mogi,18,3.47,0.06,0.39,0.14
206,Daniel #0,Paulistano,1,3.3,0.0,1.0,0.0
207,C. Gonçalves #21,São Paulo,1,0.13,0.0,0.0,1.0
208,Du Klafke #14,Sesi Franca,1,1.53,0.0,0.0,1.0
209,Reynan #29,Sesi Franca,1,0.28,0.0,0.0,1.0
210,P. Barros #21,BRB/Brasília,1,1.12,0.0,0.0,1.0
211,P. Costa #1,BRB/Brasília,1,1.12,0.0,0.0,1.0
212,Rubinho #15,KTO/Caxias do Sul,2,1.2,0.0,0.0,1.0
213,J V Vieira #90,Cerrado Basquete,2,1.33,0.0,0.0,1.0
214,Victorino #21,Paulistano,2,1.65,0.0,0.0,1.0
215,Vinícius #3,Paulistano,2,2.87,0.0,0.0,1.0
216,Cestari #22,Corinthians,2,0.55,0.0,0.0,1.0
217,Wander Broock #26,VipTech CMB,3,1.04,0.0,0.0,1.0
218,Cadu #10,BRB/Brasília,3,0.96,0.0,0.0,1.0
219,Victor #3,Corinthians,3,1.02,0.0,0.0,1.0
220,Elvis F. #17,Pinheiros,3,1.04,0.0,0.0,1.0
221,Marco #10,KTO/Caxias do Sul,3,0.27,0.0,0.0,1.0
222,André #23,Paulistano,3,3.84,0.0,0.0,1.0
223,Léo Abreu #13,Sesi Franca,3,1.09,0.0,0.33,0.0
224,Varejão #50,VipTech CMB,4,1.74,0.0,0.25,0.0
225,L. Muller #10,VipTech CMB,4,8.66,0.0,0.25,0.0
226,Lukas Josuel #12,Bauru,5,1.91,0.0,0.2,0.0
227,Vitor #7,Sesi Franca,7,2.08,0.0,0.0,1.0
228,Dida #41,KTO/Caxias do Sul,7,4.91,0.0,0.14,0.0
229,Ludwig #14,Corinthians,8,2.44,0.0,0.25,0.0
230,Augusto #46,Minas,9,3.29,0.0,0.0,1.0
231,Kirsten #11,Pato Basquete,11,6.57,0.0,0.18,0.0
232,Adriano Big #4,KTO/Caxias do Sul,17,6.84,0.0,1.29,0.0
233,Dalaqua #8,Corinthians,19,7.89,0.0,0.32,0.0
234,Kurtz #34,Mogi,32,9.6,0.0,0.88,0.0
