Pos.,Jogador,Equipe,JO,Min,Pts,3P,2P,LL
81,Mineiro #12,Flamengo,30,24.38,8.63,3.0,4.6,1.03
82,G. Basílio #10,Pinheiros,27,23.0,8.59,4.33,3.11,1.15
83,Shilton #66,KTO/Caxias do Sul,26,29.26,8.54,0.0,6.62,1.92
84,Jimmy #18,Paulistano,33,25.29,8.52,4.64,3.21,0.67
85,Demétrio #71,Flamengo,30,19.76,8.43,2.9,4.53,1.0
86,Gabriel Jaú #25,Bauru,31,19.33,8.42,0.19,6.19,2.03
87,Davi #5,Minas,32,24.87,8.41,3.75,3.0,1.66
88,Gui Santos #11,Minas,32,20.94,8.34,2.44,4.13,1.78
89,Pastor #9,UNIFACISA,33,21.27,8.21,3.27,3.82,1.12
90,Lucas #10,Pato Basquete,27,22.34,8.15,4.33,2.3,1.52
91,Jefferson #11,São Paulo,29,19.91,8.07,4.55,2.14,1.38
92,Balbi #6,Flamengo,25,23.45,8.0,4.56,2.24,1.2
93,Rafa #16,UNIFACISA,33,20.01,7.76,1.09,5.39,1.27
94,Frierson #3,VipTech CMB,30,18.95,7.7,5.5,1.27,0.93
95,Douglas Santos #0,Mogi,29,19.68,7.66,0.72,5.72,1.21
96,Vezaro #10,UNIFACISA,33,18.98,7.58,5.45,1.7,0.42
97,Márcio #3,Sesi Franca,30,16.56,7.4,0.7,4.93,1.77
98,Larry Taylor #4,Bauru,35,22.94,7.31,4.11,2.29,0.91
99,Diego #15,Bauru,34,19.89,7.24,3.88,2.35,1.0
100,Gui Abreu #33,Sesi Franca,30,18.88,7.23,3.2,3.0,1.03
101,Augusto #55,Pato Basquete,25,21.44,7.2,3.72,2.56,0.92
102,Renato #15,Corinthians,27,23.73,7.15,2.44,3.7,1.0
103,M. Pajé #25,VipTech CMB,30,22.68,7.1,2.6,3.8,0.7
104,João Vitor #0,UNIFACISA,13,18.24,7.08,0.0,5.38,1.69
105,Sena #7,Pinheiros,21,15.12,7.0,2.0,2.67,2.33
106,Sualisson #14,Fortaleza B. C.,29,24.97,7.0,1.34,4.97,0.69
107,Dawkins #10,São Paulo,30,17.7,7.0,3.2,2.8,1.0
108,Leal #2,Pato Basquete,32,18.7,7.0,0.09,5.5,1.41
109,P. Rava #7,BRB/Brasília,24,23.08,6.88,1.5,2.83,2.54
110,Servelin #3,Pato Basquete,29,19.62,6.86,2.69,3.24,0.93
111,Pedro #9,KTO/Caxias do Sul,32,21.34,6.84,3.19,2.44,1.22
112,Funches III #1,Pato Basquete,29,24.03,6.72,2.48,2.62,1.62
113,Castellon #8,VipTech CMB,29,19.6,6.72,4.14,1.66,0.93
114,T. Faria #1,Pinheiros,6,15.14,6.67,2.5,3.0,1.17
115,Schneider #18,Fortaleza B. C.,23,16.22,6.61,4.04,2.0,0.57
116,Luizinho #11,VipTech CMB,30,19.61,6.6,0.0,6.27,0.33
117,Ronald #6,Minas,24,17.06,6.58,0.0,5.33,1.25
118,Hubner #77,Sesi Franca,35,18.22,6.54,2.66,3.37,0.51
119,Teichmann #11,Pinheiros,27,27.05,6.52,0.0,5.78,0.74
120,Jefferson #0,BRB/Brasília,25,18.98,6.4,4.08,1.68,0.64
121,Isaac #7,São Paulo,24,16.3,6.38,4.0,1.67,0.71
122,Sahdi #32,UNIFACISA,15,19.11,6.2,3.8,1.33,1.07
123,Von Haydin #30,Cerrado Basquete,29,17.51,6.1,3.41,2.28,0.41
124,Queiros #3,Minas,32,16.34,6.06,3.94,1.69,0.44
125,Lessa #32,Mogi,35,22.86,5.94,1.54,3.71,0.69
126,L. Cauê #23,Corinthians,32,14.98,5.91,0.0,4.94,0.97
127,Mogi #19,Mogi,28,17.42,5.75,0.96,4.07,0.71
128,Lucas Lima #4,Cerrado Basquete,30,20.99,5.73,2.2,2.8,0.73
129,Cauê #8,Fortaleza B. C.,26,24.07,5.65,3.0,2.0,0.65
130,W. Sena #21,Pinheiros,26,14.21,5.58,0.58,4.38,0.62
131,Figueroa #33,VipTech CMB,23,25.9,5.43,2.09,2.43,0.91
132,Pecos #23,UNIFACISA,33,18.38,5.42,1.64,2.91,0.88
133,B. Fiorotto #21,Cerrado Basquete,16,15.74,5.31,0.38,4.38,0.56
134,Leonardo #21,UNIFACISA,12,13.88,5.25,0.0,4.67,0.58
135,Rafa Moreira #9,Minas,28,14.85,5.25,4.29,0.64,0.32
136,Magna #19,VipTech CMB,30,14.03,4.9,3.0,1.73,0.17
137,Marcelão #5,BRB/Brasília,30,16.99,4.83,0.0,4.2,0.63
138,Alex #10,Fortaleza B. C.,26,18.78,4.69,2.19,1.77,0.73
139,Gerson #1,São Paulo,25,13.44,4.64,0.12,3.76,0.76
140,Barbosa #32,Paulistano,29,17.2,4.62,1.45,2.34,0.83
141,Dikembe #20,Bauru,35,13.64,4.46,0.0,3.77,0.69
142,Pedro Nunes #24,Flamengo,29,14.53,4.38,1.55,1.72,1.1
143,Gegê #19,Corinthians,26,20.2,4.31,3.12,0.54,0.65
144,D. Souza #12,Pinheiros,9,12.87,4.22,1.67,2.22,0.33
145,Jhonatan #7,Flamengo,29,17.94,4.14,2.69,1.1,0.34
146,Kurtz #34,Mogi,32,9.6,4.09,0.0,3.44,0.66
147,Valter #28,Pinheiros,14,12.39,4.07,1.71,2.14,0.21
148,Alex #13,Cerrado Basquete,26,15.25,3.96,1.04,2.46,0.46
149,Doria #7,Paulistano,33,14.02,3.91,1.0,2.3,0.61
150,Gabriel #12,Pato Basquete,11,12.91,3.82,1.36,2.0,0.45
151,Pezão #21,VipTech CMB,20,10.81,3.7,0.15,3.1,0.45
152,Sérgio #1,Cerrado Basquete,30,14.9,3.57,0.0,3.07,0.5
153,Nogueira #92,Fortaleza B. C.,10,17.62,3.5,0.0,3.2,0.3
154,Jamison #6,Pinheiros,12,14.14,3.5,0.5,2.33,0.67
155,Adyel #4,Sesi Franca,32,10.71,3.47,0.84,1.88,0.75
156,Rodrigues #16,Pato Basquete,30,9.05,3.43,0.0,2.87,0.57
157,Tom #40,VipTech CMB,28,11.19,3.43,0.0,2.64,0.79
158,Zubiaurre #31,Pinheiros,24,11.93,3.42,1.38,1.83,0.21
