Pos.,Jogador,Equipe,JO,Min,EF,PTS,RT,AS,BR,TO,DD,TD
19,Eddy #33,KTO/Caxias do Sul,15,29.81,11.33,10.73,5.13,2.13,1.27,0.07,0.13,0.0
20,Paulo #7,Cerrado Basquete,15,26.9,12.2,12.07,5.13,0.8,1.2,0.2,0.13,0.0
21,Figueroa #33,VipTech CMB,8,22.68,8.25,4.5,2.25,4.63,0.75,0.0,0.13,0.0
22,Felipe #33,Fortaleza B. C.,8,28.04,11.38,10.5,6.13,1.38,1.13,0.13,0.13,0.0
23,Mogi #19,Mogi,8,19.54,8.38,6.13,5.5,1.0,0.63,0.0,0.13,0.0
24,Siewert #25,Corinthians,9,28.1,12.11,11.44,6.22,1.11,0.33,0.78,0.11,0.0
25,Coelho #10,Cerrado Basquete,11,28.43,13.0,12.82,2.91,4.73,1.55,0.09,0.09,0.0
26,Cassiano #5,Mogi,12,14.5,5.0,4.0,1.5,2.58,0.58,0.17,0.08,0.0
27,Miller #33,Corinthians,13,26.64,12.69,9.77,4.23,1.77,1.54,0.77,0.08,0.0
28,Caio Torres #13,BRB/Brasília,13,25.38,11.38,10.77,6.08,1.08,0.31,0.38,0.08,0.0
29,L. Cauê #23,Corinthians,13,19.85,11.08,8.31,5.46,1.0,0.31,0.69,0.08,0.0
30,Gui Santos #11,Minas,14,20.43,10.0,7.5,5.57,1.29,0.64,0.79,0.07,0.0
31,D. Nunes #24,Cerrado Basquete,14,27.36,11.07,9.57,4.64,1.57,0.57,0.36,0.07,0.0
32,Castellon #8,VipTech CMB,14,18.55,3.71,4.64,3.29,0.07,0.79,0.14,0.07,0.0
33,Davi #5,Minas,14,24.74,8.86,8.71,2.79,3.5,0.57,0.0,0.07,0.0
34,Munford #14,Pinheiros,15,23.84,10.27,9.27,5.33,0.93,0.6,0.13,0.07,0.0
35,Antonio #11,KTO/Caxias do Sul,15,28.58,10.67,10.6,4.2,1.27,0.67,0.33,0.07,0.0
36,Vitão #10,Paulistano,15,27.39,11.87,10.87,6.07,1.2,0.73,0.0,0.07,0.0
37,Elinho #5,Sesi Franca,15,33.2,14.6,8.73,4.07,7.33,0.93,0.07,0.07,0.0
38,Fabricio #10,Mogi,15,31.4,12.93,12.2,4.93,2.2,0.73,0.2,0.07,0.0
39,Marcelão #5,BRB/Brasília,15,15.79,5.47,5.0,4.13,0.27,0.13,0.13,0.07,0.0
40,Barbosa #32,Paulistano,15,17.74,7.73,4.87,5.53,1.27,0.53,0.27,0.07,0.0
41,Pastor #9,UNIFACISA,15,22.93,11.47,9.2,4.93,1.0,0.87,0.13,0.07,0.0
42,Lucão #31,VipTech CMB,15,17.99,11.4,8.4,5.6,1.33,0.13,0.2,0.07,0.0
43,Balbi #6,Flamengo,15,23.92,12.67,9.53,3.2,5.33,1.07,0.07,0.07,0.0
44,Renan #44,São Paulo,15,23.33,10.27,8.8,4.67,0.8,0.53,0.8,0.07,0.0
45,Sérgio #1,Cerrado Basquete,15,11.78,4.6,3.2,3.73,0.6,0.2,0.33,0.07,0.0
