pos,jogador,equipe,jo,min,ef,pts,rt,as,br,to,dd,td
91,Suassuna #20,Brasília,4,2.42,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Pitico #2,Minas,4,7.7,0.25,1.0,0.25,0.5,0.25,0.0,0.0,0.0
93,Gui Santos #11,Minas,4,3.55,0.75,1.5,0.25,0.25,0.25,0.0,0.0,0.0
94,Edu Marília #11,Sesi Franca,4,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Cobb #21,Minas,4,19.53,2.5,2.75,2.5,1.5,0.75,0.0,0.0,0.0
96,Jefferson #0,Rio Claro,5,15.08,4.2,4.8,1.0,2.4,0.8,0.0,0.0,0.0
97,Nicolas Ronsini #3,UNIFACISA,5,7.9,2.2,2.2,0.6,1.0,0.2,0.0,0.0,0.0
98,Lucious #11,Rio Claro,5,23.88,10.0,12.6,1.6,2.2,1.4,0.0,0.0,0.0
99,Felipe #16,Mogi,6,2.7,0.83,0.83,0.17,0.17,0.0,0.17,0.0,0.0
100,W. Sena #21,Botafogo,6,2.84,0.67,0.67,0.5,0.0,0.33,0.17,0.0,0.0
101,Igor #20,São Paulo,6,1.98,1.67,1.67,0.67,0.5,0.33,0.0,0.0,0.0
102,Gabriel #2,Pinheiros,6,1.54,0.33,0.83,0.0,0.0,0.0,0.0,0.0,0.0
103,João Pedro #16,Mogi,6,12.58,4.83,4.0,2.67,0.33,0.17,0.33,0.0,0.0
104,Alexey Borges #8,Mogi,7,28.46,16.57,14.57,4.14,5.14,1.43,0.0,0.0,0.0
105,Smith #2,Pato Basquete,8,23.3,1.5,5.75,3.38,1.38,0.13,0.13,0.0,0.0
106,Abner #33,São José,8,4.31,-0.25,0.0,0.5,0.0,0.13,0.0,0.0,0.0
107,Bruno #4,Rio Claro,9,4.11,0.0,0.67,0.22,0.11,0.0,0.0,0.0,0.0
108,Isaac #7,Pinheiros,9,20.11,8.56,8.11,2.56,0.78,0.67,0.0,0.0,0.0
109,Barrera #55,Flamengo,9,12.37,3.89,2.78,1.11,2.0,0.44,0.11,0.0,0.0
110,Murilo #5,Pato Basquete,9,6.45,-0.11,0.22,0.89,1.11,0.11,0.0,0.0,0.0
111,José Carlos #35,Brasília,9,6.37,0.78,1.44,1.11,0.11,0.11,0.11,0.0,0.0
112,Mendes #30,Bauru,9,7.54,2.33,1.78,1.89,0.11,0.0,0.0,0.0,0.0
113,Kevin Foster #3,Paulistano,9,9.9,3.89,4.33,2.78,0.33,0.11,0.22,0.0,0.0
114,Pedro #9,Brasília,9,21.51,5.11,5.22,2.11,1.67,0.56,0.11,0.0,0.0
115,Spencer #1,UNIFACISA,10,14.54,2.3,4.0,1.3,0.8,0.4,0.0,0.0,0.0
116,Phillips #9,Pato Basquete,10,19.7,6.9,8.8,1.7,2.2,1.1,0.0,0.0,0.0
117,Jean #5,Sesi Franca,10,2.37,0.2,0.5,0.3,0.2,0.1,0.0,0.0,0.0
118,Rafael #12,Paulistano,10,1.71,1.0,0.8,0.3,0.0,0.1,0.0,0.0,0.0
119,Buemo #8,São José,10,9.7,2.4,2.2,1.1,1.0,0.1,0.0,0.0,0.0
120,Lelê #34,Rio Claro,10,2.44,0.9,0.6,0.2,0.0,0.2,0.0,0.0,0.0
121,Larry Taylor #4,Bauru,11,23.72,9.0,9.18,3.36,1.91,1.09,0.0,0.0,0.0
122,Adyel #4,Sesi Franca,11,2.03,0.64,0.55,0.36,0.36,0.18,0.09,0.0,0.0
123,D. Penteado #12,São Paulo,12,3.13,0.75,1.17,0.25,0.17,0.08,0.0,0.0,0.0
124,I. Thornton #0,Pato Basquete,12,29.66,12.0,14.08,4.25,1.75,0.58,0.0,0.0,0.0
125,Dixson #25,UNIFACISA,13,18.85,7.54,8.31,2.46,0.15,1.0,0.31,0.0,0.0
126,Emanuel Matias #11,Bauru,13,5.41,1.77,1.08,0.69,0.31,0.15,0.08,0.0,0.0
127,Draper #10,Bauru,13,26.39,14.15,15.38,4.54,0.77,1.0,0.46,0.0,0.0
128,Cipolini #15,Sesi Franca,13,17.29,9.23,8.15,3.38,0.92,0.38,0.54,0.0,0.0
