pos,jogador,equipe,jo,min,br,er,b_e
155,Guga #0,São José,19,7.41,0.26,0.26,1.0
156,Vinicius #11,Fortaleza B. C.,23,24.25,0.26,1.78,0.15
157,Pitico #2,Minas,4,7.7,0.25,0.0,1.0
158,Gui Santos #11,Minas,4,3.55,0.25,0.75,0.33
159,Aquiles #20,Pato Basquete,16,5.7,0.25,0.25,1.0
160,Paulinho #9,Botafogo,25,12.63,0.24,1.32,0.18
161,Murilo #21,São Paulo,21,14.54,0.24,1.1,0.22
162,Thiaguinho #2,Rio Claro,17,7.15,0.24,0.12,2.0
163,Douglas Santos #0,Corinthians,26,6.43,0.23,0.31,0.75
164,Ambrosino #35,São José,26,13.7,0.23,0.69,0.33
165,Leandro #6,Pato Basquete,18,8.92,0.22,0.11,2.0
166,Jones #2,São Paulo,23,11.91,0.22,0.35,0.63
167,Pedro Teruel #12,Rio Claro,24,18.21,0.21,1.0,0.21
168,Nicolas Ronsini #3,UNIFACISA,5,7.9,0.2,0.6,0.33
169,Lelê #34,Rio Claro,10,2.44,0.2,0.0,1.0
170,Alexei Patrício #3,Minas,26,10.1,0.19,0.42,0.45
171,Pedro Nunes #1,Flamengo,21,6.98,0.19,0.29,0.67
172,Adyel #4,Sesi Franca,11,2.03,0.18,0.27,0.67
173,João Pedro #16,Mogi,6,12.58,0.17,0.83,0.2
174,Lucão #31,Rio Claro,25,10.73,0.16,0.64,0.25
175,Emanuel Matias #11,Bauru,13,5.41,0.15,0.38,0.4
176,Black #7,Flamengo,23,7.77,0.13,0.43,0.3
177,Smith #2,Pato Basquete,8,23.3,0.13,2.38,0.05
178,Abner #33,São José,8,4.31,0.13,0.13,1.0
179,Murilo #5,Pato Basquete,9,6.45,0.11,0.89,0.13
180,José Carlos #35,Brasília,9,6.37,0.11,0.56,0.2
181,Kevin Foster #3,Paulistano,9,9.9,0.11,0.67,0.17
182,Jackson #13,Botafogo,18,1.43,0.11,0.11,1.0
183,Gui Abreu #33,Sesi Franca,19,6.69,0.11,0.16,0.67
184,Jean #5,Sesi Franca,10,2.37,0.1,0.1,1.0
185,Rafael #12,Paulistano,10,1.71,0.1,0.0,1.0
186,Buemo #8,São José,10,9.7,0.1,0.6,0.17
187,Kurtz #34,São Paulo,21,11.62,0.1,0.9,0.11
188,D. Penteado #12,São Paulo,12,3.13,0.08,0.08,1.0
189,Pezão #21,UNIFACISA,14,4.21,0.07,0.21,0.33
190,Marcelão #5,Brasília,18,7.61,0.06,0.61,0.09
191,Cassiano #5,São Paulo,21,4.12,0.05,0.43,0.11
192,Barbosa #32,Paulistano,22,4.49,0.05,0.14,0.33
193,Armani #5,Fortaleza B. C.,24,2.63,0.04,0.46,0.09
194,Dalaqua #8,Corinthians,1,1.48,0.0,0.0,1.0
195,Sanchez #18,Rio Claro,1,2.08,0.0,0.0,1.0
196,Djalo #35,Corinthians,1,0.02,0.0,0.0,1.0
197,Sanches #34,Mogi,1,1.12,0.0,0.0,1.0
198,Guirro #11,São José,1,0.13,0.0,0.0,1.0
199,Mattos #29,Mogi,1,0.1,0.0,0.0,1.0
200,Andrew #27,Bauru,1,1.92,0.0,0.0,1.0
201,R. Piru #10,UNIFACISA,1,0.53,0.0,0.0,1.0
202,Honorato #6,Corinthians,1,0.08,0.0,0.0,1.0
203,Dhomini #13,Rio Claro,1,0.1,0.0,0.0,1.0
204,Mamedes #42,São Paulo,2,1.15,0.0,0.0,1.0
205,Felipe #11,Brasília,2,3.17,0.0,1.5,0.0
206,Holloway #1,São Paulo,2,10.49,0.0,0.0,1.0
207,Daniel #2,São José,2,1.11,0.0,0.0,1.0
208,Augusto #46,Sesi Franca,2,1.18,0.0,0.5,0.0
209,Beto #5,Paulistano,2,7.15,0.0,0.0,1.0
210,Augusto #77,Rio Claro,2,1.37,0.0,0.0,1.0
211,Von Haydin #30,Corinthians,2,1.33,0.0,0.0,1.0
