Pos.,Jogador,Equipe,JO,Min,AS,ER,IA%
90,Antonio #11,KTO/Caxias do Sul,15,28.58,1.27,0.87,1.46
91,Barbosa #32,Paulistano,15,17.74,1.27,0.53,2.38
92,L. Muller #10,VipTech CMB,4,8.66,1.25,0.25,5.0
93,Arthur #36,Corinthians,9,22.39,1.22,1.0,1.22
94,Sena #7,Pinheiros,9,13.57,1.22,0.67,1.83
95,Vitão #10,Paulistano,15,27.39,1.2,1.13,1.06
96,Vezaro #10,UNIFACISA,15,17.46,1.13,0.4,2.83
97,Siewert #25,Corinthians,9,28.1,1.11,0.67,1.67
98,Gabriel Jaú #25,Bauru,11,20.72,1.09,1.55,0.71
99,Jhonatan #7,Flamengo,12,20.73,1.08,0.5,2.17
100,Caio Torres #13,BRB/Brasília,13,25.38,1.08,1.62,0.67
101,Doria #7,Paulistano,15,13.78,1.07,0.47,2.29
102,João Vitor #0,UNIFACISA,2,14.64,1.0,1.5,0.67
103,Murilo #5,Pato Basquete,4,4.33,1.0,0.25,4.0
104,Arthur #4,BRB/Brasília,5,21.03,1.0,1.8,0.56
105,Schneider #18,Fortaleza B. C.,6,13.96,1.0,0.67,1.5
106,Mogi #19,Mogi,8,19.54,1.0,0.75,1.33
107,Gui Abreu #33,Sesi Franca,12,18.89,1.0,0.25,4.0
108,Laster #14,BRB/Brasília,13,32.51,1.0,1.38,0.72
109,Demétrio #71,Flamengo,13,19.39,1.0,0.69,1.44
110,L. Cauê #23,Corinthians,13,19.85,1.0,2.15,0.46
111,Frierson #3,VipTech CMB,15,21.18,1.0,1.0,1.0
112,Pastor #9,UNIFACISA,15,22.93,1.0,0.8,1.25
113,Munford #14,Pinheiros,15,23.84,0.93,0.67,1.4
114,Crescenzi #8,Cerrado Basquete,15,13.68,0.93,0.47,2.0
115,Jefferson #11,São Paulo,15,19.25,0.93,0.87,1.08
116,Von Haydin #30,Cerrado Basquete,14,19.51,0.93,0.93,1.0
117,Da Silva #7,KTO/Caxias do Sul,14,27.74,0.93,2.0,0.46
118,Alex #13,Cerrado Basquete,12,13.44,0.92,0.67,1.38
119,Gabriel #12,Pato Basquete,11,12.91,0.91,0.73,1.25
120,Shilton #66,KTO/Caxias do Sul,9,27.45,0.89,1.56,0.57
121,Zach Graham #32,Bauru,8,31.54,0.88,1.38,0.64
122,Coleman #9,Mogi,8,34.02,0.88,1.25,0.7
123,Gemadinha #35,UNIFACISA,14,10.55,0.86,0.57,1.5
124,Vezarinho #10,Corinthians,13,13.1,0.85,0.77,1.1
125,Pedro Nunes #24,Flamengo,11,8.18,0.82,0.45,1.8
126,Felipe #11,BRB/Brasília,5,4.32,0.8,0.0,1.0
127,Lassance #24,Fortaleza B. C.,5,6.17,0.8,0.2,4.0
128,Paulo #7,Cerrado Basquete,15,26.9,0.8,1.33,0.6
129,Renan #44,São Paulo,15,23.33,0.8,1.07,0.75
130,Magna #19,VipTech CMB,15,12.61,0.8,0.73,1.09
131,Isaac #7,São Paulo,14,13.91,0.79,0.29,2.75
132,Douglas Santos #0,Mogi,9,16.87,0.78,1.33,0.58
133,Paranhos #24,UNIFACISA,13,23.97,0.77,2.0,0.38
134,Sualisson #14,Fortaleza B. C.,12,25.33,0.75,1.67,0.45
135,Maique #35,Paulistano,15,25.63,0.73,1.53,0.48
136,Hubner #77,Sesi Franca,15,22.4,0.73,0.53,1.38
137,Servelin #3,Pato Basquete,15,18.1,0.73,0.53,1.38
138,Eugeniusz #6,KTO/Caxias do Sul,14,8.5,0.71,1.21,0.59
139,Valter #28,Pinheiros,14,12.39,0.71,1.21,0.59
140,R. Stabile #17,KTO/Caxias do Sul,14,10.11,0.71,0.79,0.91
141,Mathias #12,Fortaleza B. C.,13,19.09,0.69,1.23,0.56
142,Alex #10,Fortaleza B. C.,13,21.39,0.69,0.85,0.82
143,Smith #10,Sesi Franca,3,15.18,0.67,0.67,1.0
144,Danilo #17,BRB/Brasília,9,14.34,0.67,0.78,0.86
145,Scheuer #14,Pato Basquete,15,21.6,0.67,0.93,0.71
146,Pezão #21,VipTech CMB,15,12.46,0.67,0.67,1.0
147,Aquiles #20,Pato Basquete,14,15.22,0.64,0.57,1.13
148,Leonardo #21,UNIFACISA,10,15.7,0.6,1.0,0.6
149,Alexei Patrício #3,Bauru,15,8.16,0.6,0.73,0.82
150,Rafa #16,UNIFACISA,15,20.13,0.6,0.67,0.9
151,Lucas Mariano #28,São Paulo,15,26.64,0.6,1.53,0.39
152,Sérgio #1,Cerrado Basquete,15,11.78,0.6,1.07,0.56
153,W. Sena #21,Pinheiros,13,16.38,0.54,0.77,0.7
154,Márcio #3,Sesi Franca,10,16.82,0.5,1.2,0.42
155,Queiros #3,Minas,14,14.97,0.5,0.79,0.64
156,Rodrigues #16,Pato Basquete,13,7.97,0.46,0.46,1.0
157,Edu Marília #11,Sesi Franca,11,5.48,0.45,0.55,0.83
158,Dalaqua #8,Corinthians,12,9.5,0.42,0.42,1.0
159,Leal #2,Pato Basquete,15,18.37,0.4,1.33,0.3
160,Tom #40,VipTech CMB,13,10.35,0.38,0.38,1.0
161,Igor #20,São Paulo,8,3.84,0.38,0.25,1.5
162,Rapha #1,VipTech CMB,3,1.76,0.33,0.33,1.0
163,Ronald #6,Minas,6,11.54,0.33,1.0,0.33
164,Luis #9,Cerrado Basquete,6,4.04,0.33,0.17,2.0
165,Kurtz #34,Mogi,15,10.93,0.33,1.0,0.33
166,L. Brito #6,VipTech CMB,10,6.77,0.3,0.9,0.33
167,Felipe #16,Mogi,11,3.86,0.27,0.27,1.0
168,Marcelão #5,BRB/Brasília,15,15.79,0.27,0.93,0.29
169,Ambrosino #35,Cerrado Basquete,13,11.4,0.23,0.69,0.33
170,Nathan #43,Sesi Franca,5,3.42,0.2,0.0,1.0
171,Dikembe #20,Bauru,15,15.32,0.2,1.07,0.19
172,Beto #5,Paulistano,11,4.62,0.18,0.27,0.67
173,Gabriel #7,Fortaleza B. C.,7,6.85,0.14,0.0,1.0
174,R. Rachel #20,Flamengo,13,7.7,0.08,0.31,0.25
175,Castellon #8,VipTech CMB,14,18.55,0.07,1.07,0.07
176,T. Faria #1,Pinheiros,1,4.83,0.0,0.0,1.0
177,P. Barros #21,BRB/Brasília,1,1.12,0.0,0.0,1.0
178,P. Costa #1,BRB/Brasília,1,1.12,0.0,0.0,1.0
179,Rubinho #15,KTO/Caxias do Sul,1,1.3,0.0,0.0,1.0
180,Daniel #0,Paulistano,1,3.3,0.0,1.0,0.0
181,Cadu #10,BRB/Brasília,1,0.07,0.0,0.0,1.0
182,Jamison #6,Pinheiros,1,0.32,0.0,0.0,1.0
183,André #23,Paulistano,1,0.8,0.0,0.0,1.0
184,Du Klafke #14,Sesi Franca,1,1.53,0.0,0.0,1.0
185,Kirsten #11,Pato Basquete,1,2.75,0.0,0.0,1.0
186,Léo Abreu #13,Sesi Franca,2,1.6,0.0,0.5,0.0
187,Cestari #22,Corinthians,2,0.55,0.0,0.0,1.0
188,Vinícius #3,Paulistano,2,2.87,0.0,0.0,1.0
189,Lukas Josuel #12,Bauru,2,1.26,0.0,0.0,1.0
190,Capela #5,Pinheiros,2,1.47,0.0,0.5,0.0
191,Victorino #21,Paulistano,2,1.65,0.0,0.0,1.0
192,Alexandrino #13,UNIFACISA,2,8.53,0.0,1.0,0.0
193,Ziggy #14,Mogi,2,4.38,0.0,0.5,0.0
194,Ruan #9,Flamengo,3,2.7,0.0,0.0,1.0
195,Vitor #7,Sesi Franca,3,1.51,0.0,0.0,1.0
196,Victor #3,Corinthians,3,1.02,0.0,0.0,1.0
197,Colina #8,Mogi,3,4.84,0.0,0.0,1.0
198,D. Souza #12,Pinheiros,3,8.47,0.0,0.67,0.0
199,Augusto #46,Minas,3,4.72,0.0,0.0,1.0
200,Elvis F. #17,Pinheiros,3,1.04,0.0,0.0,1.0
201,Dias #31,Minas,3,6.32,0.0,0.0,1.0
202,Ribeiro #12,Minas,4,7.15,0.0,0.75,0.0
203,Pedro Silva #6,Mogi,4,2.2,0.0,0.5,0.0
204,Dida #41,KTO/Caxias do Sul,4,7.29,0.0,0.0,1.0
205,Cristhyã #41,Flamengo,4,2.33,0.0,0.5,0.0
206,Djalo #35,Corinthians,4,2.77,0.0,0.0,1.0
207,Lobo #9,Fortaleza B. C.,5,3.63,0.0,0.2,0.0
208,D. Penteado #12,São Paulo,5,3.64,0.0,0.0,1.0
209,Maciel #34,Flamengo,6,4.04,0.0,0.67,0.0
210,João Pedro #16,Bauru,6,6.54,0.0,0.5,0.0
211,Buiú #14,Paulistano,7,3.37,0.0,0.14,0.0
212,Ludwig #14,Corinthians,7,2.27,0.0,0.14,0.0
213,Rafael #12,Paulistano,8,2.68,0.0,0.25,0.0
214,Derick #8,Pato Basquete,9,3.57,0.0,0.11,0.0
215,Emanuel Matias #11,Bauru,10,3.9,0.0,0.3,0.0
216,Adriano Big #4,KTO/Caxias do Sul,11,7.59,0.0,1.64,0.0
217,Languas #20,Paulistano,12,7.83,0.0,0.17,0.0
218,M. Douglas #13,Pinheiros,13,7.17,0.0,0.08,0.0
219,Gerson #1,São Paulo,13,10.81,0.0,0.31,0.0
