pos,jogador,equipe,jo,min,ef,pts,rt,as,br,to,er
1,Georginho #14,São Paulo,26,37.89,24.08,15.46,8.73,7.46,1.31,0.81,2.77
2,Leandrinho #19,Minas,22,31.93,20.36,20.09,4.23,4.91,1.32,0.18,1.95
3,Scott #22,Minas,26,27.14,19.96,14.31,7.81,2.15,0.85,0.81,1.88
4,David Jackson #32,Sesi Franca,25,31.86,19.88,17.12,4.56,3.16,1.0,0.48,1.16
5,Léo Meindl #23,São Paulo,26,33.45,18.62,17.88,7.19,3.27,1.19,0.15,2.81
6,Nehemias #7,São José,13,30.31,18.31,20.08,5.46,3.0,1.15,0.0,2.23
7,Rafa #16,São José,25,28.19,17.88,16.24,5.12,1.8,1.08,0.08,1.84
8,Shamell #8,São Paulo,26,37.16,17.15,18.81,3.54,3.81,0.88,0.04,2.0
9,Alex Garcia #10,Minas,26,32.04,17.15,16.27,5.35,4.54,1.38,0.19,2.54
10,Fuzaro #6,Mogi,24,34.49,17.08,17.88,4.33,2.33,1.13,0.5,2.67
11,André Goes #40,Mogi,26,33.24,16.81,14.62,5.88,3.69,1.92,0.19,2.08
12,Alexey Borges #8,Mogi,7,28.46,16.57,14.57,4.14,5.14,1.43,0.0,2.57
13,Marquinhos #11,Flamengo,23,28.26,16.48,17.26,4.43,2.96,0.96,0.22,2.17
14,Renan #44,São Paulo,25,30.26,16.28,12.32,5.72,1.44,0.64,1.16,0.76
15,Faggiano #3,Bauru,26,33.83,16.27,14.31,2.85,5.46,1.81,0.08,2.42
16,Lucas Dias #9,Sesi Franca,25,31.62,16.24,15.48,5.24,2.2,0.88,0.72,1.68
17,Massey #5,Bauru,11,29.6,16.18,12.64,8.0,1.91,1.91,0.45,1.18
18,Gerson #1,Rio Claro,26,27.86,16.15,13.35,6.27,1.38,0.65,0.15,1.27
19,Nesbitt #25,Corinthians,26,26.43,15.92,12.46,6.46,1.73,1.0,0.31,1.58
20,Felipe #33,Fortaleza B. C.,8,30.46,15.88,14.75,8.25,1.25,0.88,0.63,1.88
21,Yago #2,Paulistano,25,31.78,15.84,16.04,3.0,5.44,1.08,0.04,2.2
22,Solano #1,Paulistano,25,30.87,15.72,13.92,5.28,5.48,1.64,0.28,2.76
23,Bennett #3,Pinheiros,26,31.61,15.31,14.77,3.08,3.81,1.23,0.04,2.27
24,Fúlvio #2,Mogi,22,30.25,14.95,13.09,3.5,6.14,0.82,0.0,2.95
25,Betinho #26,Pinheiros,27,27.73,14.85,16.07,3.67,3.48,0.93,0.19,3.04
26,D. Nunes #24,UNIFACISA,27,27.05,14.81,11.41,6.26,2.11,0.67,0.56,1.48
27,João Vitor #0,UNIFACISA,27,18.9,14.67,10.22,6.96,0.63,0.48,1.48,1.3
28,Gruber #20,Mogi,14,30.8,14.5,16.14,4.86,1.5,1.29,1.36,1.86
29,Sahdi #32,Rio Claro,22,26.04,14.45,11.82,2.36,6.36,0.77,0.0,3.36
30,Fischer #1,Corinthians,24,25.05,14.29,14.58,2.5,4.63,0.63,0.13,2.42
31,Lucas Mariano #28,Botafogo,26,25.74,14.27,15.58,4.77,0.88,0.42,0.77,1.81
32,Draper #10,Bauru,13,26.39,14.15,15.38,4.54,0.77,1.0,0.46,1.46
33,Figueredo #9,São José,25,31.64,14.08,13.08,2.96,5.52,0.92,0.0,2.4
34,Arthur #4,Brasília,23,28.36,14.04,14.48,3.87,1.57,0.87,0.17,1.43
35,Jamaal #5,Botafogo,23,30.87,13.96,13.78,3.04,4.74,0.65,0.09,2.26
