Pos.,Jogador,Equipe,JO,Min,TO,FC,T/FC
90,Nehemias #7,UNIFACISA,15,26.91,0.13,1.8,0.07
91,Pastor #9,UNIFACISA,15,22.93,0.13,2.4,0.06
92,Lucas Lima #4,Cerrado Basquete,15,17.59,0.13,2.2,0.06
93,Coleman #9,Mogi,8,34.02,0.13,2.75,0.05
94,Felipe #33,Fortaleza B. C.,8,28.04,0.13,3.0,0.04
95,Shilton #66,KTO/Caxias do Sul,9,27.45,0.11,2.67,0.04
96,Arthur #36,Corinthians,9,22.39,0.11,2.0,0.06
97,Cook #55,VipTech CMB,9,32.79,0.11,2.0,0.06
98,Coelho #10,Cerrado Basquete,11,28.43,0.09,2.36,0.04
99,Edu Marília #11,Sesi Franca,11,5.48,0.09,1.09,0.08
100,Brite #3,Fortaleza B. C.,12,27.27,0.08,2.5,0.03
101,Parodi #21,Minas,12,23.45,0.08,2.17,0.04
102,Rodrigues #16,Pato Basquete,13,7.97,0.08,0.85,0.09
103,Laster #14,BRB/Brasília,13,32.51,0.08,2.54,0.03
104,Vezarinho #10,Corinthians,13,13.1,0.08,1.23,0.06
105,Alex #10,Fortaleza B. C.,13,21.39,0.08,2.46,0.03
106,Jefferson #0,BRB/Brasília,13,23.45,0.08,1.54,0.05
107,Von Haydin #30,Cerrado Basquete,14,19.51,0.07,1.71,0.04
108,Valter #28,Pinheiros,14,12.39,0.07,1.57,0.05
109,Rashaun #17,Fortaleza B. C.,14,24.99,0.07,1.79,0.04
110,Alex Garcia #10,Bauru,14,32.32,0.07,3.07,0.02
111,Dawkins #10,São Paulo,14,15.07,0.07,0.79,0.09
112,Isaac #7,São Paulo,14,13.91,0.07,1.79,0.04
113,Augusto #55,Pato Basquete,15,20.9,0.07,2.8,0.02
114,Pedro Teruel #12,KTO/Caxias do Sul,15,25.44,0.07,2.53,0.03
115,Elinho #5,Sesi Franca,15,33.2,0.07,2.13,0.03
116,Betinho #26,UNIFACISA,15,28.58,0.07,2.47,0.03
117,Rafa #16,UNIFACISA,15,20.13,0.07,2.87,0.02
118,Pierotti #4,VipTech CMB,15,32.75,0.07,1.73,0.04
119,Jimmy #18,Paulistano,15,27.78,0.07,2.4,0.03
120,Pecos #23,UNIFACISA,15,20.78,0.07,1.0,0.07
121,Jefferson #11,São Paulo,15,19.25,0.07,1.53,0.04
122,Gabriel #2,Pinheiros,15,20.27,0.07,1.33,0.05
123,Eddy #33,KTO/Caxias do Sul,15,29.81,0.07,2.2,0.03
124,Bennett #3,São Paulo,15,32.6,0.07,2.13,0.03
125,Balbi #6,Flamengo,15,23.92,0.07,1.53,0.04
126,Doria #7,Paulistano,15,13.78,0.07,1.47,0.05
127,Magna #19,VipTech CMB,15,12.61,0.07,1.8,0.04
128,Deryk #9,Paulistano,15,28.62,0.07,1.4,0.05
129,T. Faria #1,Pinheiros,1,4.83,0.0,0.0,1.0
130,P. Barros #21,BRB/Brasília,1,1.12,0.0,0.0,1.0
131,P. Costa #1,BRB/Brasília,1,1.12,0.0,0.0,1.0
132,Rubinho #15,KTO/Caxias do Sul,1,1.3,0.0,0.0,1.0
133,Daniel #0,Paulistano,1,3.3,0.0,0.0,1.0
134,Cadu #10,BRB/Brasília,1,0.07,0.0,0.0,1.0
135,Jamison #6,Pinheiros,1,0.32,0.0,0.0,1.0
136,André #23,Paulistano,1,0.8,0.0,0.0,1.0
137,Du Klafke #14,Sesi Franca,1,1.53,0.0,0.0,1.0
138,Kirsten #11,Pato Basquete,1,2.75,0.0,0.0,1.0
139,Léo Abreu #13,Sesi Franca,2,1.6,0.0,0.0,1.0
140,Cestari #22,Corinthians,2,0.55,0.0,0.0,1.0
141,Vinícius #3,Paulistano,2,2.87,0.0,0.5,0.0
142,Lukas Josuel #12,Bauru,2,1.26,0.0,0.0,1.0
143,Capela #5,Pinheiros,2,1.47,0.0,0.0,1.0
144,Victorino #21,Paulistano,2,1.65,0.0,0.0,1.0
145,Alexandrino #13,UNIFACISA,2,8.53,0.0,1.5,0.0
146,Ziggy #14,Mogi,2,4.38,0.0,0.5,0.0
147,Ruan #9,Flamengo,3,2.7,0.0,0.0,1.0
148,J. Socas #54,BRB/Brasília,3,18.72,0.0,1.67,0.0
149,Vitor #7,Sesi Franca,3,1.51,0.0,0.33,0.0
150,Green #44,Sesi Franca,3,21.33,0.0,4.0,0.0
151,Victor #3,Corinthians,3,1.02,0.0,0.0,1.0
152,Colina #8,Mogi,3,4.84,0.0,1.33,0.0
153,Rapha #1,VipTech CMB,3,1.76,0.0,0.33,0.0
154,Smith #10,Sesi Franca,3,15.18,0.0,1.0,0.0
155,Augusto #46,Minas,3,4.72,0.0,0.0,1.0
156,Elvis F. #17,Pinheiros,3,1.04,0.0,1.33,0.0
157,Dias #31,Minas,3,6.32,0.0,1.0,0.0
158,Ribeiro #12,Minas,4,7.15,0.0,1.0,0.0
159,Pedro Silva #6,Mogi,4,2.2,0.0,0.0,1.0
160,Dida #41,KTO/Caxias do Sul,4,7.29,0.0,1.75,0.0
161,Cristhyã #41,Flamengo,4,2.33,0.0,0.25,0.0
162,Djalo #35,Corinthians,4,2.77,0.0,0.0,1.0
163,L. Muller #10,VipTech CMB,4,8.66,0.0,1.75,0.0
164,Murilo #5,Pato Basquete,4,4.33,0.0,0.5,0.0
165,Arthur #4,BRB/Brasília,5,21.03,0.0,3.0,0.0
166,Lobo #9,Fortaleza B. C.,5,3.63,0.0,0.4,0.0
167,Felipe #11,BRB/Brasília,5,4.32,0.0,0.0,1.0
168,Nathan #43,Sesi Franca,5,3.42,0.0,0.4,0.0
169,D. Penteado #12,São Paulo,5,3.64,0.0,0.8,0.0
170,Lassance #24,Fortaleza B. C.,5,6.17,0.0,0.0,1.0
171,Gemerson #6,BRB/Brasília,5,27.11,0.0,1.6,0.0
172,Maciel #34,Flamengo,6,4.04,0.0,0.33,0.0
173,Luis #9,Cerrado Basquete,6,4.04,0.0,0.33,0.0
174,Schneider #18,Fortaleza B. C.,6,13.96,0.0,1.33,0.0
175,João Pedro #16,Bauru,6,6.54,0.0,0.83,0.0
176,Buiú #14,Paulistano,7,3.37,0.0,0.57,0.0
177,Ludwig #14,Corinthians,7,2.27,0.0,0.29,0.0
178,Figueroa #33,VipTech CMB,8,22.68,0.0,2.63,0.0
179,Igor #20,São Paulo,8,3.84,0.0,0.38,0.0
180,Mogi #19,Mogi,8,19.54,0.0,1.63,0.0
181,P. Rava #7,BRB/Brasília,9,24.11,0.0,1.78,0.0
182,Danilo #17,BRB/Brasília,9,14.34,0.0,0.67,0.0
183,Derick #8,Pato Basquete,9,3.57,0.0,0.56,0.0
184,Sena #7,Pinheiros,9,13.57,0.0,0.67,0.0
185,David Jackson #32,Minas,9,27.9,0.0,1.22,0.0
186,Marquinhos #11,Flamengo,9,23.39,0.0,1.56,0.0
187,Lucas #10,Pato Basquete,10,20.98,0.0,2.0,0.0
188,Alexey Borges #8,Bauru,10,34.72,0.0,2.3,0.0
189,Nezinho #23,BRB/Brasília,10,26.94,0.0,2.8,0.0
190,L. Brito #6,VipTech CMB,10,6.77,0.0,1.3,0.0
191,Emanuel Matias #11,Bauru,10,3.9,0.0,1.2,0.0
192,Gabriel #8,BRB/Brasília,11,10.41,0.0,0.55,0.0
193,Adriano Big #4,KTO/Caxias do Sul,11,7.59,0.0,1.36,0.0
194,Gegê #19,Corinthians,11,24.62,0.0,2.55,0.0
195,Pedro Nunes #24,Flamengo,11,8.18,0.0,0.82,0.0
196,Beto #5,Paulistano,11,4.62,0.0,0.55,0.0
197,Dalaqua #8,Corinthians,12,9.5,0.0,1.58,0.0
198,Fuller #2,Corinthians,12,33.61,0.0,2.0,0.0
