Pos.,Jogador,Equipe,JO,Min,BR,ER,B/E
90,Maique #35,Paulistano,15,25.63,0.67,1.53,0.43
91,M. Pajé #25,VipTech CMB,15,23.75,0.67,0.93,0.71
92,Vezaro #10,UNIFACISA,15,17.46,0.67,0.4,1.67
93,Gui Santos #11,Minas,14,20.43,0.64,1.64,0.39
94,Adyel #4,Sesi Franca,14,13.2,0.64,1.07,0.6
95,Gabriel Jaú #25,Bauru,11,20.72,0.64,1.55,0.41
96,Zach Graham #32,Bauru,8,31.54,0.63,1.38,0.45
97,Mogi #19,Mogi,8,19.54,0.63,0.75,0.83
98,Barnes #34,UNIFACISA,13,21.96,0.62,1.08,0.57
99,Fuller #14,Cerrado Basquete,13,31.74,0.62,2.15,0.29
100,Lassance #24,Fortaleza B. C.,5,6.17,0.6,0.2,3.0
101,Munford #14,Pinheiros,15,23.84,0.6,0.67,0.9
102,Frierson #3,VipTech CMB,15,21.18,0.6,1.0,0.6
103,Jimmy #18,Paulistano,15,27.78,0.6,1.53,0.39
104,Cassiano #5,Mogi,12,14.5,0.58,1.33,0.44
105,Fuller #2,Corinthians,12,33.61,0.58,2.17,0.27
106,Von Haydin #30,Cerrado Basquete,14,19.51,0.57,0.93,0.62
107,D. Nunes #24,Cerrado Basquete,14,27.36,0.57,1.21,0.47
108,Davi #5,Minas,14,24.74,0.57,2.0,0.29
109,Isaac #7,São Paulo,14,13.91,0.57,0.29,2.0
110,P. Rava #7,BRB/Brasília,9,24.11,0.56,1.0,0.56
111,Nogueira #92,Fortaleza B. C.,9,18.19,0.56,1.67,0.33
112,Ambrosino #35,Cerrado Basquete,13,11.4,0.54,0.69,0.78
113,Pezão #21,VipTech CMB,15,12.46,0.53,0.67,0.8
114,Servelin #3,Pato Basquete,15,18.1,0.53,0.53,1.0
115,Barbosa #32,Paulistano,15,17.74,0.53,0.53,1.0
116,Hettsheimeir #30,Flamengo,15,21.43,0.53,2.27,0.24
117,Renan #44,São Paulo,15,23.33,0.53,1.07,0.5
118,Ziggy #14,Mogi,2,4.38,0.5,0.5,1.0
119,Renato #15,Corinthians,8,25.17,0.5,1.5,0.33
120,Rafa Moreira #9,Minas,10,20.26,0.5,0.8,0.63
121,Valter #28,Pinheiros,14,12.39,0.5,1.21,0.41
122,Gruber #20,Mogi,14,22.11,0.5,2.07,0.24
123,Leal #2,Pato Basquete,15,18.37,0.47,1.33,0.35
124,Crescenzi #8,Cerrado Basquete,15,13.68,0.47,0.47,1.0
125,Mathias #12,Fortaleza B. C.,13,19.09,0.46,1.23,0.38
126,Rodrigues #16,Pato Basquete,13,7.97,0.46,0.46,1.0
127,Alex #10,Fortaleza B. C.,13,21.39,0.46,0.85,0.55
128,Gabriel #12,Pato Basquete,11,12.91,0.45,0.73,0.63
129,Beto #5,Paulistano,11,4.62,0.45,0.27,1.67
130,Shilton #66,KTO/Caxias do Sul,9,27.45,0.44,1.56,0.29
131,Danilo #17,BRB/Brasília,9,14.34,0.44,0.78,0.57
132,Arthur #36,Corinthians,9,22.39,0.44,1.0,0.44
133,Marquinhos #11,Flamengo,9,23.39,0.44,1.78,0.25
134,Zubiaurre #31,Pinheiros,14,13.72,0.43,1.07,0.4
135,Aquiles #20,Pato Basquete,14,15.22,0.43,0.57,0.75
136,Gui Abreu #33,Sesi Franca,12,18.89,0.42,0.25,1.67
137,Alexei Patrício #3,Bauru,15,8.16,0.4,0.73,0.55
138,Luizinho #11,VipTech CMB,15,17.36,0.4,1.0,0.4
139,Doria #7,Paulistano,15,13.78,0.4,0.47,0.86
140,W. Sena #21,Pinheiros,13,16.38,0.38,0.77,0.5
141,Pedro Nunes #24,Flamengo,11,8.18,0.36,0.45,0.8
142,Buffat #9,Pinheiros,11,23.05,0.36,1.91,0.19
143,Queiros #3,Minas,14,14.97,0.36,0.79,0.45
144,Batista #13,Minas,14,25.8,0.36,2.07,0.17
145,Green #44,Sesi Franca,3,21.33,0.33,1.67,0.2
146,Smith #10,Sesi Franca,3,15.18,0.33,0.67,0.5
147,Dias #31,Minas,3,6.32,0.33,0.0,1.0
148,Schneider #18,Fortaleza B. C.,6,13.96,0.33,0.67,0.5
149,Siewert #25,Corinthians,9,28.1,0.33,0.67,0.5
150,Magna #19,VipTech CMB,15,12.61,0.33,0.73,0.45
151,R. Rachel #20,Flamengo,13,7.7,0.31,0.31,1.0
152,Gerson #1,São Paulo,13,10.81,0.31,0.31,1.0
153,Caio Torres #13,BRB/Brasília,13,25.38,0.31,1.62,0.19
154,L. Cauê #23,Corinthians,13,19.85,0.31,2.15,0.14
155,Buiú #14,Paulistano,7,3.37,0.29,0.14,2.0
156,Gemadinha #35,UNIFACISA,14,10.55,0.29,0.57,0.5
157,Gabriel #8,BRB/Brasília,11,10.41,0.27,0.55,0.5
158,Hubner #77,Sesi Franca,15,22.4,0.27,0.53,0.5
159,Pedro Silva #6,Mogi,4,2.2,0.25,0.5,0.5
160,Cristhyã #41,Flamengo,4,2.33,0.25,0.5,0.5
161,Murilo #5,Pato Basquete,4,4.33,0.25,0.25,1.0
162,Igor #20,São Paulo,8,3.84,0.25,0.25,1.0
163,Jhonatan #7,Flamengo,12,20.73,0.25,0.5,0.5
164,Tom #40,VipTech CMB,13,10.35,0.23,0.38,0.6
165,Vezarinho #10,Corinthians,13,13.1,0.23,0.77,0.3
166,Derick #8,Pato Basquete,9,3.57,0.22,0.11,2.0
167,Eugeniusz #6,KTO/Caxias do Sul,14,8.5,0.21,1.21,0.18
168,R. Stabile #17,KTO/Caxias do Sul,14,10.11,0.21,0.79,0.27
169,Lobo #9,Fortaleza B. C.,5,3.63,0.2,0.2,1.0
170,Felipe #11,BRB/Brasília,5,4.32,0.2,0.0,1.0
171,Nathan #43,Sesi Franca,5,3.42,0.2,0.0,1.0
